SLIDE_NO,LONGITUDE,LATITUDE,ELEVATION_M,SLOPE_DEG
AP/PP/83E12/2008/A-8,93.742222,27.124444,146.92,10.37
AP/PAP/83E12/2021/7,93.702139,27.123139,166.33,23.91
AP/PP/83E12/2008/A-6,93.694444,27.112222,138.06,0.73
AP/PP/83E12/2008/A-7,93.699722,27.105556,205.64,9.16
AP/PAP/83E12/2021/18,93.66925,27.088278,181.6,27.53
AP/PAP/83E12/2021/6,93.660111,27.106722,234.67,29.46
AP/PP/83E12/2008/A-5,93.663889,27.106472,204.74,12.61
AP/PAP/83E12/2021/66,93.655639,27.216278,483.31,31.69
AP/PAP/83E12/2021/65,93.691472,27.216639,465.14,38.94
AP/PAP/83E12/2021/64,93.695278,27.218611,487.91,35.58
AP/PAP/83E12/2021/63,93.698194,27.220833,488.53,34.61
AP/PAP/83E12/2021/9,93.739167,27.16,205.71,12.18
AP/PAP/83E12/2021/8,93.705333,27.128972,146.52,10.26
ARN/PAP/83E11/2017/04,93.73164,27.1275,140.14,3.48
ARN/PAP/83E11/2017/02,93.73164,27.1275,140.14,3.48
AP/PAP/83E16/2021/11,93.752306,27.163556,147.03,7.93
AP/PAP/83E12/2021/10,93.751167,27.165806,165.19,34.35
AP/PAP/83E16/2021/12,93.780944,27.194111,191.96,15.33
AP/PAP/83E15/2021/46,93.805167,27.339833,772.93,28.77
AP/PAP/83E15/2021/42,93.820722,27.336667,991.96,30.75
AP/PAP/83E15/2021/41,93.821306,27.337028,994.55,33.17
AP/PAP/83E15/2021/43,93.819417,27.334056,971.02,36.49
AP/PAP/83E15/2021/29,93.822389,27.325806,1080.42,27.05
AP/PAP/83E15/2021/45,93.812528,27.328528,887.91,25.01
AP/PAP/83E15/2021/44,93.813389,27.327583,898.83,24.11
AP/PAP/83E15/2021/28,93.806306,27.307111,717.04,5.2
AP/PAP/83E15/2021/27,93.802833,27.300833,668.85,25.56
AP/PAP/83E15/2021/26,93.802056,27.294278,656.85,33.47
AP/PAP/83E15/2021/25,93.796806,27.291083,577.38,23.85
AP/PAP/83E15/2021/24,93.796444,27.27925,492.05,27.51
AP/PAP/83E16/2021/14,93.807167,27.236306,309.95,38.24
AP/PAP/83E16/2021/15,93.806444,27.238222,262.49,22.35
AP/PAP/83E16/2021/16,93.806083,27.238917,278.31,30.96
AP/PAP/83E16/2021/13,93.799111,27.228167,329.07,28.02
AP/PAP/83E16/2021/17,93.804667,27.246111,274.86,24.93
AP/PAP/83E15/2021/19,93.80125,27.267722,397.26,36.66
AP/PAP/83E15/2021/20,93.802361,27.269861,420.56,33.68
AP/PAP/83E15/2021/21,93.799333,27.270019,403.75,21.75
AP/PAP/83E15/2021/22,93.797833,27.2745,438.38,21.49
AP/PAP/83E15/2021/23,93.795889,27.27625,476.95,31.64
AP/PAP/83E15/2021/50,93.780306,27.260722,310.32,25.68
AP/PAP/83E15/2021/51,93.778167,27.258556,338.0,29.56
AP/PAP/83E15/2021/47,93.7895,27.260444,382.27,21.91
AP/PAP/83E15/2021/48,93.7895,27.260222,382.27,21.91
AP/PAP/83E15/2021/49,93.7895,27.260222,382.27,21.91
AP/PAP/83E16/2021/52,93.765889,27.248167,323.32,26.43
AP/PAP/83E16/2021/53,93.765333,27.24675,322.85,26.78
AP/PAP/83E16/2021/55,93.750417,27.240556,371.37,31.55
AP/PAP/83E12/2021/56,93.749306,27.241056,389.21,26.79
AP/PAP/83E16/2021/54,93.757222,27.242917,342.7,34.97
AP/PAP/83E12/2021/57,93.746889,27.24125,423.63,32.74
AP/PAP/83E12/2021/58,93.745917,27.240083,402.87,30.25
AP/PAP/83E12/2021/59,93.745,27.239333,405.09,17.09
AP/PAP/83E12/2021/60,93.731417,27.241,401.3,16.64
AP/PAP/83E12/2021/61,93.715694,27.236139,425.74,29.41
AP/PAP/83E12/2021/62,93.707861,27.234139,429.95,31.05
AP/PAP/83E11/2021/78,93.507778,27.253778,956.67,20.22
AP/PAP/83E11/2021/77,93.504278,27.251806,923.58,32.84
AP/PAP/83E11/2021/76,93.507833,27.2495,970.85,8.05
AP/PAP/83E12/2021/75,93.524389,27.235306,911.99,29.01
AP/PAP/83E12/2021/74,93.536139,27.234917,849.29,31.14
AP/PAP/83E12/2021/67,93.635667,27.214778,514.38,28.54
AP/PAP/83E12/2021/69,93.615667,27.207583,570.85,30.15
ARN/PAP/83E12/2017/01,93.615842,27.207659,570.85,30.15
AP/PAP/83E12/2021/68,93.628556,27.210556,553.99,33.65
AP/PAP/83E12/2021/71,93.580417,27.223667,759.04,38.84
AP/PAP/83E12/2021/70,93.581167,27.22075,714.94,31.88
AP/PAP/83E12/2021/72,93.570278,27.225361,727.74,34.63
AP/PAP/83E12/2021/73,93.568972,27.228056,710.45,35.52
ARN/PAP/83E11/2017/03,93.64975,27.10736,297.62,10.24
AP/PAP/83E12/2021/5,93.641778,27.103069,377.09,18.55
AP/PAP/83E12/2021/4,93.640417,27.102944,378.72,28.78
AP/PAP/83E12/2021/3,93.638722,27.103444,397.02,26.83
AP/PAP/83E12/2021/2,93.637611,27.103944,423.15,37.05
AP/PAP/83E12/2021/1,93.634019,27.103111,420.3,17.46
AP/PP/83E12/2008/A-3,93.619222,27.101111,344.72,12.49
AP/PP/83E12/2008/A-2,93.615694,27.095278,336.13,18.49
AP/PP/83E12/2008/A-4,93.615667,27.091139,345.27,8.87
AP/PP/83E12/2008/A-1,93.605639,27.078472,238.28,16.8
